2017.11.12 18:50:50 INFO  es[][o.s.p.ProcessEntryPoint] Starting es
2017.11.12 18:50:51 INFO  es[][o.s.s.EsSettings] Elasticsearch listening on /127.0.0.1:9001
2017.11.12 18:50:51 INFO  es[][o.elasticsearch.node] [sonarqube] version[2.4.4], pid[5112], build[fcbb46d/2017-01-03T11:33:16Z]
2017.11.12 18:50:51 INFO  es[][o.elasticsearch.node] [sonarqube] initializing ...
2017.11.12 18:50:51 INFO  es[][o.e.plugins] [sonarqube] modules [], plugins [], sites []
2017.11.12 18:50:51 INFO  es[][o.elasticsearch.env] [sonarqube] using [1] data paths, mounts [[OSDisk (C:)]], net usable_space [96.4gb], net total_space [166.5gb], spins? [unknown], types [NTFS]
2017.11.12 18:50:51 INFO  es[][o.elasticsearch.env] [sonarqube] heap size [990.7mb], compressed ordinary object pointers [true]
2017.11.12 18:50:54 INFO  es[][o.elasticsearch.node] [sonarqube] initialized
2017.11.12 18:50:54 INFO  es[][o.elasticsearch.node] [sonarqube] starting ...
2017.11.12 18:50:55 INFO  es[][o.e.transport] [sonarqube] publish_address {127.0.0.1:9001}, bound_addresses {127.0.0.1:9001}
2017.11.12 18:50:55 INFO  es[][o.e.discovery] [sonarqube] sonarqube/gD_xn9vrTjqaNx5L7kqgdA
2017.11.12 18:50:59 INFO  es[][o.e.cluster.service] [sonarqube] new_master {sonarqube}{gD_xn9vrTjqaNx5L7kqgdA}{127.0.0.1}{127.0.0.1:9001}{rack_id=sonarqube, master=true}, reason: zen-disco-join(elected_as_master, [0] joins received)
2017.11.12 18:50:59 INFO  es[][o.elasticsearch.node] [sonarqube] started
2017.11.12 18:50:59 INFO  es[][o.e.gateway] [sonarqube] recovered [7] indices into cluster_state
2017.11.12 18:51:02 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[components][3]] ...]).
